relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
0,5.225332893827757,,3.021482467651367,-4.405331134796143
1,,9.169792175292969,,
20,3.5697416354167606,,0.768538773059845,-3.60566782951355
21,,9.57201862335205,,
40,3.0399355382108104,10.120290756225586,-2.0231003761291504,-1.9129672050476074
59,,,-3.955221176147461,
60,4.375990619223964,,,-0.30885201692581177
61,,9.399636268615723,,
80,4.306196387944118,8.010998725891113,-3.5170822143554688,0.6272808313369751
99,,,-1.2258312702178955,
100,2.6056622800770177,7.7213006019592285,,-0.6512228846549988
119,,,0.8547300100326538,
120,2.1671368626713616,7.9176249504089355,,-0.9265560507774353
139,,,1.5322890281677246,
140,2.337908267509925,8.056488990783691,,-0.7086837291717529
159,,,0.706289529800415,
160,2.215800299119073,7.800309181213379,,-0.8906430602073669
179,,,-0.5889736413955688,
180,2.39202919404449,7.522581577301025,,-0.8882488012313843
199,,,-1.314416766166687,
200,2.3665262941809466,7.709329605102539,,-0.6775590777397156
219,1.55811457330954,,-1.113303780555725,0.0
220,,8.47786808013916,,
239,1.5001259591940526,,-0.8834604024887085,
240,,8.676587104797363,,0.507570743560791
259,1.8469554386598015,8.248024940490723,-0.9624691009521484,0.4812345504760742
278,,,-1.625662922859192,
279,2.6407843547342575,,,0.9002198576927185
280,,7.805097579956055,,
299,2.681326762347688,8.269572257995605,-1.721431016921997,1.4532804489135742
318,,,-0.9026140570640564,
319,1.8484223856110518,9.694122314453125,,1.4508862495422363
338,,,-0.49320554733276367,
339,2.1602799723342363,11.049241065979004,,1.4269442558288574
358,,,-0.9193734526634216,
359,2.412607686698057,11.051634788513184,,1.7190368175506592
378,1.7658916035798664,,-1.3479355573654175,1.0869675874710083
379,,10.587160110473633,,
398,,,-0.646434485912323,
399,2.707357631895879,10.72602367401123,,2.3918075561523438
418,,,-0.5626373887062073,
419,3.5415232610653558,10.8720703125,,3.270479440689087
438,4.041832805771358,11.511322021484375,-0.646434485912323,3.5960910320281982
458,3.350704198811003,12.358869552612305,-1.4772224426269531,1.9823989868164062
478,4.04269747353779,,-2.161964178085327,-1.2713210582733154
479,,13.385981559753418,,
497,,,-4.637568473815918,
498,5.3151888157634435,13.151350021362305,,-1.8794482946395874
517,,,-3.1100680828094482,
518,5.0271225579011105,10.764330863952637,,-4.587290287017822
538,2.3335303722928242,8.860940933227539,-1.680729627609253,-2.233790159225464
557,,,-0.8858546018600464,
558,3.1651067070351586,8.841787338256836,,-3.1914708614349365
577,,,-0.667982280254364,
578,3.7587102820806955,10.467450141906738,,-3.8067808151245117
597,,,-0.19153612852096558,
598,3.313975599301557,11.161767959594727,,-2.935291290283203
617,,,-0.3280056416988373,
618,1.5651519395727573,10.132261276245117,,-1.2856862545013428
637,,,-1.1755530834197998,
638,0.8698723616638825,8.899248123168945,,-0.6057330369949341
657,1.4900256569464718,,-1.9704279899597168,-0.8331822156906128
658,,8.418013572692871,,
676,,,-2.2625205516815186,
677,1.5596114352065082,,,
678,,8.559270858764648,,-0.8212111592292786
696,,,-1.9991583824157715,
697,1.4527228014147242,8.537723541259766,,-0.8164227604866028
716,,,-0.9576807022094727,
717,1.3417719987231873,8.4108304977417,,-0.9624691009521484
736,,,0.1412578970193863,
737,2.081978917135153,8.051700592041016,,-1.2497732639312744
756,,,0.38067805767059326,
757,2.4785798818256435,,,
758,,7.659051418304443,,-1.256955862045288
776,,,0.6655880808830261,
777,2.32837598843051,7.948749542236328,,-0.9457096457481384
796,,,0.6775590777397156,
797,2.209678372243016,8.17380428314209,,-0.29209262132644653
816,2.2525336517292813,8.552088737487793,0.8810662031173706,0.1412578970193863
836,2.56545412932661,8.489839553833008,1.1755530834197998,0.363918662071228
855,,,1.501164436340332,
856,2.8799134437481704,,,0.5722141861915588
857,,8.403648376464844,,
876,2.572853849521919,8.834604263305664,1.3551181554794312,0.667982280254364
896,2.180270865525223,9.892841339111328,1.0414776802062988,0.7781155705451965
915,,,0.9361328482627869,
916,2.1477745559206864,10.879252433776855,,0.4908113479614258
935,,,0.912190854549408,
936,2.333530985317323,11.434707641601562,,0.31603461503982544
955,,,0.4405331015586853,
956,3.068561860511316,12.131420135498047,,1.1348515748977661
975,,,0.12449848651885986,
976,3.8865591351883375,12.27507209777832,,2.298433542251587
995,3.970253246695418,,-0.5363011956214905,
996,,10.83855152130127,,3.1914708614349365
1015,,,-0.8858546018600464,
1016,3.1908435115284917,9.636661529541016,,2.561795711517334
1035,5.399612144387266,,-0.1628057211637497,
1036,,10.457873344421387,,-5.774814605712891
1055,10.083584700884993,16.314090728759766,2.9879636764526367,-7.632715225219727
1074,,,4.091690540313721,
